Dataset,Method,Accuracy,Balanced_Accuracy,GMean,F1,MCC,ROC_AUC,Sensitivity,Specificity,Minority_Recall
abalone19,Random US,0.6425 ± 0.0650,0.6235 ± 0.0242,0.6170 ± 0.0222,0.0252 ± 0.0019,0.0451 ± 0.0082,0.6278 ± 0.0214,0.6042 ± 0.1005,0.6428 ± 0.0662,0.6042 ± 0.1005
abalone19,Cluster US,0.7671 ± 0.0100,0.7018 ± 0.0406,0.6969 ± 0.0442,0.0410 ± 0.0057,0.0840 ± 0.0174,0.7506 ± 0.0261,0.6354 ± 0.0722,0.7681 ± 0.0096,0.6354 ± 0.0722
abalone19,SMOTE,0.9174 ± 0.0068,0.6173 ± 0.0236,0.5207 ± 0.0701,0.0548 ± 0.0051,0.0755 ± 0.0122,0.7516 ± 0.0474,0.3125 ± 0.0541,0.9221 ± 0.0072,0.3125 ± 0.0541
abalone19,Residual-Guided GMM,0.7699 ± 0.0087,0.7445 ± 0.0269,0.7343 ± 0.0412,0.0450 ± 0.0033,0.1000 ± 0.0109,0.8081 ± 0.0085,0.7188 ± 0.0625,0.7703 ± 0.0092,0.7188 ± 0.0625
winequality-red-4,Original GB,0.9596 ± 0.0022,0.5233 ± 0.0155,0.2058 ± 0.0773,0.0796 ± 0.0387,0.0739 ± 0.0392,0.7163 ± 0.0222,0.0560 ± 0.0323,0.9905 ± 0.0026,0.0560 ± 0.0323
winequality-red-4,Random US,0.6735 ± 0.0278,0.6379 ± 0.0048,0.6291 ± 0.0114,0.1084 ± 0.0031,0.1053 ± 0.0030,0.6877 ± 0.0136,0.5997 ± 0.0387,0.6762 ± 0.0301,0.5997 ± 0.0387
winequality-red-4,Cluster US,0.5856 ± 0.0345,0.6196 ± 0.0290,0.6080 ± 0.0437,0.0950 ± 0.0132,0.0876 ± 0.0225,0.6823 ± 0.0047,0.6560 ± 0.0266,0.5832 ± 0.0349,0.6560 ± 0.0266
winequality-red-4,SMOTE,0.9016 ± 0.0036,0.5790 ± 0.0355,0.4558 ± 0.0730,0.1320 ± 0.0323,0.1012 ± 0.0399,0.6915 ± 0.0135,0.2334 ± 0.0772,0.9245 ± 0.0063,0.2334 ± 0.0772
winequality-red-4,Residual-Guided GMM,0.6395 ± 0.0268,0.6535 ± 0.0405,0.6454 ± 0.0491,0.1101 ± 0.0103,0.1148 ± 0.0272,0.7179 ± 0.0291,0.6683 ± 0.1030,0.6386 ± 0.0304,0.6683 ± 0.1030
shuttle-2_vs_5,Original GB,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000
shuttle-2_vs_5,Random US,0.9951 ± 0.0068,0.9975 ± 0.0034,0.9975 ± 0.0035,0.9027 ± 0.1178,0.9135 ± 0.1017,1.0000 ± 0.0000,1.0000 ± 0.0000,0.9950 ± 0.0069,1.0000 ± 0.0000
shuttle-2_vs_5,Cluster US,0.9919 ± 0.0071,0.9959 ± 0.0036,0.9958 ± 0.0036,0.8509 ± 0.1292,0.8701 ± 0.1126,1.0000 ± 0.0000,1.0000 ± 0.0000,0.9917 ± 0.0072,1.0000 ± 0.0000
shuttle-2_vs_5,SMOTE,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000
shuttle-2_vs_5,Residual-Guided GMM,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000,1.0000 ± 0.0000
ecoli1,Original GB,0.8839 ± 0.0157,0.8400 ± 0.0199,0.8347 ± 0.0200,0.7487 ± 0.0302,0.6762 ± 0.0407,0.9410 ± 0.0005,0.7584 ± 0.0275,0.9216 ± 0.0124,0.7584 ± 0.0275
ecoli1,Random US,0.8720 ± 0.0060,0.8733 ± 0.0071,0.8717 ± 0.0080,0.7579 ± 0.0049,0.6877 ± 0.0072,0.9061 ± 0.0146,0.8752 ± 0.0292,0.8714 ± 0.0161,0.8752 ± 0.0292
ecoli1,Cluster US,0.8651 ± 0.0304,0.8457 ± 0.0501,0.8438 ± 0.0519,0.7355 ± 0.0606,0.6544 ± 0.0814,0.9060 ± 0.0508,0.8097 ± 0.0868,0.8818 ± 0.0145,0.8097 ± 0.0868
ecoli1,SMOTE,0.8859 ± 0.0034,0.8670 ± 0.0092,0.8654 ± 0.0099,0.7690 ± 0.0086,0.6993 ± 0.0115,0.9425 ± 0.0083,0.8318 ± 0.0223,0.9023 ± 0.0059,0.8318 ± 0.0223
ecoli1,Residual-Guided GMM,0.8889 ± 0.0105,0.8826 ± 0.0071,0.8817 ± 0.0063,0.7818 ± 0.0155,0.7167 ± 0.0219,0.9546 ± 0.0066,0.8707 ± 0.0008,0.8945 ± 0.0136,0.8707 ± 0.0008
glass1,Original GB,0.7944 ± 0.0124,0.7667 ± 0.0083,0.7590 ± 0.0112,0.6979 ± 0.0108,0.5477 ± 0.0222,0.8451 ± 0.0083,0.6711 ± 0.0456,0.8623 ± 0.0403,0.6711 ± 0.0456
glass1,Random US,0.7290 ± 0.0124,0.7386 ± 0.0196,0.7372 ± 0.0181,0.6693 ± 0.0224,0.4590 ± 0.0360,0.8115 ± 0.0117,0.7719 ± 0.0532,0.7053 ± 0.0221,0.7719 ± 0.0532
glass1,Cluster US,0.7445 ± 0.0150,0.7507 ± 0.0019,0.7491 ± 0.0019,0.6824 ± 0.0029,0.4846 ± 0.0074,0.8171 ± 0.0095,0.7719 ± 0.0532,0.7295 ± 0.0524,0.7719 ± 0.0532
glass1,SMOTE,0.7773 ± 0.0338,0.7642 ± 0.0259,0.7620 ± 0.0250,0.6979 ± 0.0295,0.5246 ± 0.0577,0.8419 ± 0.0057,0.7193 ± 0.0331,0.8092 ± 0.0586,0.7193 ± 0.0331
glass1,Residual-Guided GMM,0.7695 ± 0.0189,0.7730 ± 0.0119,0.7723 ± 0.0122,0.7083 ± 0.0139,0.5287 ± 0.0267,0.8518 ± 0.0072,0.7851 ± 0.0274,0.7609 ± 0.0403,0.7851 ± 0.0274
