Dataset,Method,Accuracy,Accuracy_Mean,Accuracy_Std,Balanced_Accuracy,Balanced_Accuracy_Mean,Balanced_Accuracy_Std,GMean,GMean_Mean,GMean_Std,F1,F1_Mean,F1_Std,MCC,MCC_Mean,MCC_Std,ROC_AUC,ROC_AUC_Mean,ROC_AUC_Std,Sensitivity,Sensitivity_Mean,Sensitivity_Std,Specificity,Specificity_Mean,Specificity_Std,Minority_Recall,Minority_Recall_Mean,Minority_Recall_Std
page-blocks0,Original GB,0.9731 ± 0.0010,0.9730750487329435,0.001039152175269947,0.9158 ± 0.0002,0.9157638954730126,0.00016925578577871626,0.9129 ± 0.0001,0.9128596986413542,0.00011215185581497536,0.8648 ± 0.0042,0.8648041859956129,0.0042366041109040105,0.8503 ± 0.0051,0.8502836658099944,0.005052073984284891,0.9900 ± 0.0007,0.989974727085572,0.0006664073682815996,0.8437 ± 0.0011,0.8437403993855607,0.0010533293178274943,0.9878 ± 0.0013,0.9877873915604644,0.0012712497684298518,0.8437 ± 0.0011,0.8437403993855607,0.0010533293178274943
page-blocks0,Random US,0.9401 ± 0.0014,0.9400584795321638,0.0014273117097782396,0.9452 ± 0.0037,0.9452241351141565,0.0036523022299780254,0.9452 ± 0.0036,0.9451607934328381,0.003639101532676565,0.7654 ± 0.0020,0.7653700842390432,0.0020262096405189328,0.7518 ± 0.0006,0.7518110890449355,0.0006052102771511771,0.9847 ± 0.0011,0.9846819408985213,0.0010765579011891714,0.9517 ± 0.0099,0.9517153097798259,0.009941875993499709,0.9387 ± 0.0027,0.9387329604484872,0.00269423162221278,0.9517 ± 0.0099,0.9517153097798259,0.009941875993499709
page-blocks0,Cluster US,0.8163 ± 0.0065,0.8162768031189084,0.006513475116048999,0.8800 ± 0.0043,0.8799850832091384,0.004342841110153073,0.8762 ± 0.0046,0.8762095628853886,0.004559492280319765,0.5172 ± 0.0100,0.517244264825893,0.00995802772264964,0.5147 ± 0.0100,0.5147218196631808,0.010017771612182523,0.9517 ± 0.0057,0.9517014923490215,0.0057252671068474285,0.9601 ± 0.0021,0.9600507765830346,0.002082409772035778,0.7999 ± 0.0071,0.7999193898352422,0.007092573551202963,0.9601 ± 0.0021,0.9600507765830346,0.002082409772035778
page-blocks0,SMOTE,0.9644 ± 0.0019,0.9644249512670565,0.0019021070901553872,0.9416 ± 0.0072,0.9416196316121014,0.007199747770711969,0.9411 ± 0.0075,0.941102752871554,0.0074527103623360435,0.8399 ± 0.0095,0.8398567604188841,0.009547615146566537,0.8235 ± 0.0110,0.8234743386743831,0.011044893361514659,0.9885 ± 0.0021,0.9884898966573323,0.00209244080341672,0.9130 ± 0.0139,0.9129565625533367,0.013862915414890526,0.9703 ± 0.0005,0.9702827006708657,0.0005377846574791522,0.9130 ± 0.0139,0.9129565625533367,0.013862915414890526
page-blocks0,Residual-Guided GMM,0.9390 ± 0.0030,0.9389619883040936,0.003019501396538482,0.9473 ± 0.0054,0.9472553253959773,0.005415297358051145,0.9472 ± 0.0054,0.9471822332260388,0.005386904583884438,0.7626 ± 0.0108,0.7625817375706306,0.010831603040667218,0.7499 ± 0.0120,0.7498549799757184,0.01196782212126681,0.9871 ± 0.0003,0.9870861393725238,0.0003018633047760783,0.9577 ± 0.0084,0.9576762246117085,0.00844617982162304,0.9368 ± 0.0024,0.9368344261802459,0.0024115619056665856,0.9577 ± 0.0084,0.9576762246117085,0.00844617982162304
pima,Original GB,0.7513 ± 0.0069,0.7513020833333334,0.006889977372564046,0.7161 ± 0.0054,0.7160845771144279,0.005432863156674948,0.7056 ± 0.0048,0.7056393436131847,0.0047632114223545964,0.6267 ± 0.0071,0.6266839112401684,0.007051551343810407,0.4436 ± 0.0145,0.44358420182056424,0.014480814238215303,0.8182 ± 0.0068,0.8182189054726369,0.006756667677561064,0.5995 ± 0.0078,0.5995024875621889,0.007767410445769121,0.8327 ± 0.0117,0.8326666666666668,0.01171893055416464,0.5995 ± 0.0078,0.5995024875621889,0.007767410445769121
pima,Random US,0.7461 ± 0.0065,0.74609375,0.006510416666666741,0.7508 ± 0.0039,0.7507512437810946,0.003906695628772863,0.7490 ± 0.0039,0.7490419012932218,0.003931223100762805,0.6780 ± 0.0043,0.6779562003571918,0.004294040986009335,0.4840 ± 0.0093,0.48398977476082666,0.009253909489846075,0.8171 ± 0.0065,0.817139303482587,0.006481399493364889,0.7662 ± 0.0078,0.7661691542288557,0.007767410445769121,0.7353 ± 0.0133,0.7353333333333333,0.013316656236958798,0.7662 ± 0.0078,0.7661691542288557,0.007767410445769121
pima,Cluster US,0.7322 ± 0.0128,0.7322048611111112,0.012846049120615209,0.7254 ± 0.0143,0.7253681592039801,0.014273974320850688,0.7242 ± 0.0146,0.7242482203220506,0.01456033911421576,0.6467 ± 0.0170,0.6466683997325844,0.017009086254634705,0.4380 ± 0.0273,0.43796872510841617,0.027332938766468022,0.8107 ± 0.0130,0.8107363184079602,0.012969370614806344,0.7027 ± 0.0206,0.7027363184079602,0.020550636370470506,0.7480 ± 0.0111,0.7479999999999999,0.011135528725660053,0.7027 ± 0.0206,0.7027363184079602,0.020550636370470506
pima,SMOTE,0.7478 ± 0.0074,0.747829861111111,0.007403959248798644,0.7365 ± 0.0081,0.7365024875621891,0.008109167348395264,0.7352 ± 0.0082,0.7352234452408656,0.00818768454416257,0.6593 ± 0.0102,0.6592776800694783,0.010220761275765352,0.4626 ± 0.0162,0.46259896654026766,0.016162884200840968,0.8150 ± 0.0019,0.8150348258706468,0.0019299571332736473,0.6990 ± 0.0120,0.6990049751243781,0.01199459049874744,0.7740 ± 0.0072,0.774,0.007211102550927985,0.6990 ± 0.0120,0.6990049751243781,0.01199459049874744
pima,Residual-Guided GMM,0.7435 ± 0.0091,0.7434895833333334,0.009114583333333315,0.7519 ± 0.0098,0.7519253731343283,0.009821904861257152,0.7503 ± 0.0106,0.750272325873747,0.01060726295573414,0.6801 ± 0.0109,0.6800924959830695,0.010915074011981137,0.4845 ± 0.0170,0.48451962205947985,0.01696575124797844,0.8244 ± 0.0065,0.8243930348258707,0.006476689069229127,0.7799 ± 0.0208,0.7798507462686567,0.020775240159813545,0.7240 ± 0.0144,0.7239999999999999,0.01442220510185597,0.7799 ± 0.0208,0.7798507462686567,0.020775240159813545
