Method,Accuracy,Accuracy_Mean,Accuracy_SD,Accuracy_N_Datasets,Balanced_Accuracy,Balanced_Accuracy_Mean,Balanced_Accuracy_SD,Balanced_Accuracy_N_Datasets,GMean,GMean_Mean,GMean_SD,GMean_N_Datasets,F1,F1_Mean,F1_SD,F1_N_Datasets,MCC,MCC_Mean,MCC_SD,MCC_N_Datasets,ROC_AUC,ROC_AUC_Mean,ROC_AUC_SD,ROC_AUC_N_Datasets,Sensitivity,Sensitivity_Mean,Sensitivity_SD,Sensitivity_N_Datasets,Specificity,Specificity_Mean,Specificity_SD,Specificity_N_Datasets,Minority_Recall,Minority_Recall_Mean,Minority_Recall_SD,Minority_Recall_N_Datasets
Original GB,0.8971 ± 0.0993,0.897131536574126,0.09929717407349371,9,0.7636 ± 0.1763,0.7635661453226121,0.17633531096945668,9,0.6660 ± 0.3419,0.666008280481333,0.3419057393244733,9,0.6060 ± 0.3502,0.6060130590004181,0.35023045076966836,9,0.5394 ± 0.3479,0.5394403363099182,0.347899998139775,9,0.8717 ± 0.1096,0.8717086559022035,0.10955540741940098,9,0.5876 ± 0.3544,0.5875743819226575,0.3543839385418187,9,0.9396 ± 0.0635,0.9395579087225668,0.06351238052811391,9,0.5876 ± 0.3544,0.5875743819226575,0.3543839385418187,9
Random US,0.8023 ± 0.1314,0.8022723609424712,0.13142662035518435,9,0.8012 ± 0.1401,0.8011993666585591,0.14011861384944055,9,0.7988 ± 0.1426,0.7987659717663022,0.14255225671698357,9,0.5941 ± 0.3151,0.5941333982529687,0.3150780106827462,9,0.5158 ± 0.3059,0.5158335630426325,0.3059430826730823,9,0.8440 ± 0.1345,0.8440047871872955,0.13447327374851298,9,0.8065 ± 0.1500,0.806492442085436,0.14996906673808066,9,0.7959 ± 0.1333,0.795906291231682,0.13334295695203147,9,0.8065 ± 0.1500,0.806492442085436,0.14996906673808066,9
Cluster US,0.7892 ± 0.1263,0.789204758451201,0.12632431969980998,9,0.7949 ± 0.1252,0.794941638129091,0.12520639177430867,9,0.7918 ± 0.1277,0.791764501967906,0.12774628697252788,9,0.5561 ± 0.2993,0.5560694916219611,0.29929124930746354,9,0.4796 ± 0.2798,0.4796178943093092,0.2798001389231611,9,0.8525 ± 0.1117,0.8524764322923516,0.11173440582772987,9,0.8057 ± 0.1359,0.8056591124677219,0.13587388260751646,9,0.7842 ± 0.1316,0.78422416379046,0.1316483543872708,9,0.8057 ± 0.1359,0.8056591124677219,0.13587388260751646,9
SMOTE,0.8756 ± 0.0971,0.8755901822791983,0.09711254314569016,9,0.7945 ± 0.1498,0.7945420936317602,0.14982992712072626,9,0.7690 ± 0.1891,0.7689903617674513,0.18914246738150933,9,0.6251 ± 0.3268,0.6251140164418866,0.32681504107664056,9,0.5489 ± 0.3262,0.5489139469692428,0.3262361558431565,9,0.8675 ± 0.1154,0.8675251297037394,0.11538147628372435,9,0.6958 ± 0.2682,0.6957652965314618,0.2681819069774712,9,0.8933 ± 0.0838,0.8933188907320585,0.08375371437030427,9,0.6958 ± 0.2682,0.6957652965314618,0.2681819069774712,9
Residual-Guided GMM,0.8195 ± 0.1257,0.8195279224894176,0.12566460539884922,9,0.8241 ± 0.1230,0.8241220939416505,0.12302228345967343,9,0.8213 ± 0.1257,0.8212778386047659,0.12572245528742446,9,0.6176 ± 0.3283,0.6175787251484847,0.3282660118869394,9,0.5478 ± 0.3125,0.5478316857413977,0.3124638385413494,9,0.8810 ± 0.1033,0.8810225176672385,0.10332328339684188,9,0.8367 ± 0.1191,0.8367370194749604,0.11906901699571279,9,0.8115 ± 0.1317,0.8115071684083405,0.1317320322751389,9,0.8367 ± 0.1191,0.8367370194749604,0.11906901699571279,9
