Dataset,Repeat,Fold,Method,Accuracy,Balanced_Accuracy,GMean,F1,MCC,ROC_AUC,Sensitivity,Specificity,Minority_Recall,TN,FP,FN,TP
vehicle0,3,2,Cluster US,0.9219858156028369,0.928030303030303,0.927960727138337,0.8493150684931506,0.8040492985678507,0.9776156628008481,0.9393939393939394,0.9166666666666666,0.9393939393939394,297,27,6,93
vehicle0,3,2,SMOTE,0.9550827423167849,0.9391133557800224,0.9386333403940084,0.9045226130653267,0.8751761691675785,0.987467265245043,0.9090909090909091,0.9691358024691358,0.9090909090909091,314,10,9,90
vehicle0,3,2,Residual-Guided GMM,0.9479905437352246,0.9555274971941639,0.9554224321959031,0.897196261682243,0.866982671451793,0.9889325352288315,0.9696969696969697,0.941358024691358,0.9696969696969697,305,19,3,96
page-blocks0,1,1,Original GB,0.9733187134502924,0.9168340619953523,0.9140842159393869,0.8660550458715597,0.8515469173793859,0.9921801946891552,0.8458781362007168,0.9877899877899878,0.8458781362007168,2427,30,43,236
page-blocks0,1,1,Random US,0.9554093567251462,0.9624640592382527,0.9624232584518446,0.8162650602409639,0.804926050523405,0.9900000437634846,0.9713261648745519,0.9536019536019537,0.9713261648745519,2343,114,8,271
page-blocks0,1,1,Cluster US,0.7982456140350878,0.8765475862250056,0.8710111531497888,0.49635036496350365,0.49797326586741564,0.9605340895663476,0.974910394265233,0.7781847781847782,0.974910394265233,1912,545,7,272
page-blocks0,1,1,SMOTE,0.9660087719298246,0.9524794202213557,0.952327778262704,0.848780487804878,0.8343691676764806,0.990990557298801,0.9354838709677419,0.9694749694749695,0.9354838709677419,2382,75,18,261
page-blocks0,1,1,Residual-Guided GMM,0.945906432748538,0.9555844394554072,0.9555070989896531,0.7848837209302325,0.7732923470531791,0.9913326418702764,0.967741935483871,0.9434269434269434,0.967741935483871,2318,139,9,270
page-blocks0,1,2,Original GB,0.971125730994152,0.9143031642624477,0.9115074010701597,0.8566243194192378,0.8407141084299191,0.9866107782689624,0.8428571428571429,0.9857491856677525,0.8428571428571429,2421,35,44,236
page-blocks0,1,2,Random US,0.9232456140350878,0.9287691949744067,0.9287432278342719,0.7138964577656676,0.6986521854627605,0.977011836900884,0.9357142857142857,0.9218241042345277,0.9357142857142857,2264,192,18,262
page-blocks0,1,2,Cluster US,0.8450292397660819,0.8915309446254072,0.8896115977145721,0.5564853556485355,0.5502782235713863,0.954859818520242,0.95,0.8330618892508144,0.95,2046,410,14,266
page-blocks0,1,2,SMOTE,0.9597953216374269,0.9190670079106562,0.9176392072873996,0.8154362416107382,0.7947955732003091,0.9814623080502559,0.8678571428571429,0.9702768729641694,0.8678571428571429,2383,73,37,243
page-blocks0,1,2,Residual-Guided GMM,0.9349415204678363,0.9431945090739879,0.9431374244981824,0.75,0.736774273522411,0.9827114355514192,0.9535714285714286,0.9328175895765473,0.9535714285714286,2291,165,13,267
page-blocks0,2,1,Original GB,0.971125730994152,0.9013155303477884,0.8970391249973247,0.851782363977486,0.836956516860594,0.9864953180365366,0.8136200716845878,0.989010989010989,0.8136200716845878,2430,27,52,227
page-blocks0,2,1,Random US,0.9426169590643275,0.9473984796565442,0.9473794386377652,0.772133526850508,0.7586341627751643,0.9847287320405601,0.953405017921147,0.9413919413919414,0.953405017921147,2313,144,13,266
page-blocks0,2,1,Cluster US,0.8187134502923976,0.8736460671944544,0.8709165209436411,0.5146771037181996,0.5084485753133529,0.9319397581046325,0.942652329749104,0.8046398046398047,0.942652329749104,1977,480,16,263
page-blocks0,2,1,SMOTE,0.9623538011695907,0.9393241167434716,0.9388785118360542,0.8314238952536824,0.8142981471160057,0.9874639498295412,0.910394265232975,0.9682539682539683,0.910394265232975,2379,78,25,254
page-blocks0,2,1,Residual-Guided GMM,0.9334795321637427,0.9486654325364003,0.9484736105579167,0.7479224376731302,0.7371458003614061,0.9839059785296344,0.967741935483871,0.9295889295889296,0.967741935483871,2284,173,9,270
page-blocks0,2,2,Original GB,0.9773391812865497,0.9304211261051651,0.9285490565368816,0.8872727272727273,0.8748595838469512,0.9931559737087017,0.8714285714285714,0.989413680781759,0.8714285714285714,2430,26,36,244
page-blocks0,2,2,Random US,0.935672514619883,0.9499302000930665,0.9497610277180186,0.754874651810585,0.7438001641742853,0.9865089867380177,0.9678571428571429,0.9320032573289903,0.9678571428571429,2289,167,9,271
